superclass_name_linked	superclass_iri	subclass_name	subclass_iri	Analysis	Recommended Mapping	Type of mapping issue	Status
Meyer's loop of optic radiation	<http://purl.obolibrary.org/obo/UBERON_0035935>	Meyer's loop of optic radiation	<https://purl.brain-bican.org/ontology/hbao/HBA_265505214>	OK			
Purkinje cell layer of cerebellar cortex	<http://purl.obolibrary.org/obo/UBERON_0002979>	cerebellar cortex, Purkinje layer	<https://purl.brain-bican.org/ontology/mbao/MBA_1145>	OK			
abducens nerve	<http://purl.obolibrary.org/obo/UBERON_0001646>	abducens nerve	<https://purl.brain-bican.org/ontology/hbao/HBA_9325>	OK			
abducens nerve	<http://purl.obolibrary.org/obo/UBERON_0001646>	abducens nerve	<https://purl.brain-bican.org/ontology/mbao/MBA_710>	OK			
abducens nucleus	<http://purl.obolibrary.org/obo/UBERON_0002682>	abducens nucleus	<https://purl.brain-bican.org/ontology/dhbao/DHBA_12418>	OK			
abducens nucleus	<http://purl.obolibrary.org/obo/UBERON_0002682>	abducens motor nucleus	<https://purl.brain-bican.org/ontology/dmbao/DMBA_17279>	OK			
abducens nucleus	<http://purl.obolibrary.org/obo/UBERON_0002682>	abducens nucleus	<https://purl.brain-bican.org/ontology/hbao/HBA_9136>	OK			
abducens nucleus	<http://purl.obolibrary.org/obo/UBERON_0002682>	abducens nucleus	<https://purl.brain-bican.org/ontology/mbao/MBA_653>	OK			
accessory XI nerve	<http://purl.obolibrary.org/obo/UBERON_0002019>	accessory nerve	<https://purl.brain-bican.org/ontology/hbao/HBA_9340>	OK			
accessory XI nerve	<http://purl.obolibrary.org/obo/UBERON_0002019>	accessory spinal nerve	<https://purl.brain-bican.org/ontology/mbao/MBA_717>	OK			
accessory abducens nucleus	<http://purl.obolibrary.org/obo/UBERON_0035976>	accessory abducens nucleus	<https://purl.brain-bican.org/ontology/mbao/MBA_568>	OK			
accessory basal amygdaloid nucleus	<http://purl.obolibrary.org/obo/UBERON_0002885>	basomedial nucleus (accessory basal nucleus)	<https://purl.brain-bican.org/ontology/dhbao/DHBA_10369>	OK			
accessory basal amygdaloid nucleus	<http://purl.obolibrary.org/obo/UBERON_0002885>	basomedial nucleus	<https://purl.brain-bican.org/ontology/hbao/HBA_4350>	OK			
accessory cuneate nucleus	<http://purl.obolibrary.org/obo/UBERON_0002864>	accessory cuneate nucleus	<https://purl.brain-bican.org/ontology/hbao/HBA_9513>	OK			
accessory cuneate nucleus	<http://purl.obolibrary.org/obo/UBERON_0002864>	external cuneate nucleus	<https://purl.brain-bican.org/ontology/mbao/MBA_903>	OK			
accessory nerve root	<http://purl.obolibrary.org/obo/UBERON_0014615>	root of accessory nerve	<https://purl.brain-bican.org/ontology/dhbao/DHBA_12883>	Verify	accessory XI nerve is whole nerve, accessory nerve root (root of accessory nerve) http://purl.obolibrary.org/obo/UBERON_0014615 is probably fine. 		
accessory nerve root	<http://purl.obolibrary.org/obo/UBERON_0014615>	accessory nerve root	https://purl.brain-bican.org/ontology/dmbao/DMBA_17749	Verify	accessory XI nerve is whole nerve, accessory nerve root (root of accessory nerve) http://purl.obolibrary.org/obo/UBERON_0014615 is probably fine. 		Verified
accessory olfactory bulb	<http://purl.obolibrary.org/obo/UBERON_0004069>	accessory olfactory bulb	<https://purl.brain-bican.org/ontology/dmbao/DMBA_15957>	OK			
accessory olfactory bulb	<http://purl.obolibrary.org/obo/UBERON_0004069>	accessory olfactory bulb	<https://purl.brain-bican.org/ontology/mbao/MBA_151>	OK			
accessory olfactory bulb external plexiform layer	<http://purl.obolibrary.org/obo/UBERON_0019289>	AOB, outer plexiform layer	<https://purl.brain-bican.org/ontology/dmbao/DMBA_15965>	OK			
accessory olfactory bulb glomerular layer	<http://purl.obolibrary.org/obo/UBERON_0007631>	AOB, glomerular layer	<https://purl.brain-bican.org/ontology/dmbao/DMBA_15967>	OK			
accessory olfactory bulb glomerular layer	<http://purl.obolibrary.org/obo/UBERON_0007631>	accessory olfactory bulb, glomerular layer	<https://purl.brain-bican.org/ontology/mbao/MBA_188>	OK			
accessory olfactory bulb granule cell layer	<http://purl.obolibrary.org/obo/UBERON_0015244>	AOB, granular layer	<https://purl.brain-bican.org/ontology/dmbao/DMBA_15961>	OK			
accessory olfactory bulb granule cell layer	<http://purl.obolibrary.org/obo/UBERON_0015244>	accessory olfactory bulb, granular layer	<https://purl.brain-bican.org/ontology/mbao/MBA_196>	OK			
accessory olfactory bulb internal plexiform layer	<http://purl.obolibrary.org/obo/UBERON_0019290>	AOB, internal plexiform layer	<https://purl.brain-bican.org/ontology/dmbao/DMBA_15962>	OK			
accessory olfactory bulb mitral cell layer	<http://purl.obolibrary.org/obo/UBERON_0015432>	accessory olfactory bulb, mitral layer	<https://purl.brain-bican.org/ontology/mbao/MBA_204>	OK			
accessory optic tract	<http://purl.obolibrary.org/obo/UBERON_0035595>	accessory optic tract	<https://purl.brain-bican.org/ontology/mbao/MBA_876>	OK			
agranular insular cortex	<http://purl.obolibrary.org/obo/UBERON_0034893>	dysgranular insular cortex	<https://purl.brain-bican.org/ontology/dhbao/DHBA_10289>	nok	synonym is 'dysgranular insular cortex' (http://purl.obolibrary.org/obo/UBERON_0034893)	Add Term	
agranular insular cortex	<http://purl.obolibrary.org/obo/UBERON_0034893>	agranular insular cortex (area Iag)	<https://purl.brain-bican.org/ontology/dhbao/DHBA_10328>	OK			
allocortex	<http://purl.obolibrary.org/obo/UBERON_0014734>	allocortex	<https://purl.brain-bican.org/ontology/dhbao/DHBA_10292>	OK			
ambient gyrus	<http://purl.obolibrary.org/obo/UBERON_0036164>	ambiens gyrus	<https://purl.brain-bican.org/ontology/dhbao/DHBA_12166>	OK			
amiculum of inferior olive	<http://purl.obolibrary.org/obo/UBERON_0035938>	amiculum of the olive	<https://purl.brain-bican.org/ontology/dhbao/DHBA_12728>	OK			
amiculum of inferior olive	<http://purl.obolibrary.org/obo/UBERON_0035938>	amiculum of the olive	<https://purl.brain-bican.org/ontology/hbao/HBA_265505538>	OK			
amygdala	<http://purl.obolibrary.org/obo/UBERON_0001876>	amygdaloid complex	<https://purl.brain-bican.org/ontology/dhbao/DHBA_10361>	OK			
amygdala	<http://purl.obolibrary.org/obo/UBERON_0001876>	amygdala	<https://purl.brain-bican.org/ontology/hbao/HBA_4327>	OK			
amygdala	<http://purl.obolibrary.org/obo/UBERON_0001876>	amygdaloid complex	<https://purl.brain-bican.org/ontology/pbao/PBA_4002>	OK			
amygdalohippocampal area	<http://purl.obolibrary.org/obo/UBERON_0034673>	amygdalohippocampal area	<https://purl.brain-bican.org/ontology/dhbao/DHBA_10377>	OK			
amygdalohippocampal area	<http://purl.obolibrary.org/obo/UBERON_0034673>	amygdalohippocampal area	<https://purl.brain-bican.org/ontology/dmbao/DMBA_15945>	OK			
amygdalohippocampal area	<http://purl.obolibrary.org/obo/UBERON_0034673>	amygdalohippocampal area, left	<https://purl.brain-bican.org/ontology/hbao/HBA_4330>	OK			
amygdalohippocampal area	<http://purl.obolibrary.org/obo/UBERON_0034673>	amygdalohippocampal area	<https://purl.brain-bican.org/ontology/pbao/PBA_10135>	OK			
amygdalohippocampal area, magnocellular division	<http://purl.obolibrary.org/obo/UBERON_0035027>	amygdalohippocampal area, left, magnocellular division	<https://purl.brain-bican.org/ontology/hbao/HBA_265504452>	OK			
amygdalohippocampal area, magnocellular division	<http://purl.obolibrary.org/obo/UBERON_0035027>	amygdalohippocampal area, magnocellualr part	<https://purl.brain-bican.org/ontology/pbao/PBA_10136>	OK			
amygdalohippocampal area, parvocellular division	<http://purl.obolibrary.org/obo/UBERON_0035028>	amygdalohippocampal area, left, parvocellular division	<https://purl.brain-bican.org/ontology/hbao/HBA_265504456>	OK			
amygdalohippocampal area, parvocellular division	<http://purl.obolibrary.org/obo/UBERON_0035028>	amygdalohippocampal area, parvocelluar part	<https://purl.brain-bican.org/ontology/pbao/PBA_10137>	OK			
amygdalohippocampal transition area	<http://purl.obolibrary.org/obo/UBERON_0035026>	amygdalohippocampal transition area	<https://purl.brain-bican.org/ontology/dhbao/DHBA_10380>	OK			
amygdalopiriform transition area	<http://purl.obolibrary.org/obo/UBERON_0034989>	amygdalopiriform transition area	<https://purl.brain-bican.org/ontology/pbao/PBA_10140>	OK			
anatomical entity	<http://purl.obolibrary.org/obo/UBERON_0001062>	ABA entity	<http://purl.obolibrary.org/obo/ABA_ENTITY>	OK			
anatomical entity	<http://purl.obolibrary.org/obo/UBERON_0001062>	DHBA entity	<https://purl.brain-bican.org/ontology/dhbao/DHBA_ENTITY>	OK			
anatomical entity	<http://purl.obolibrary.org/obo/UBERON_0001062>	DMBA entity	<https://purl.brain-bican.org/ontology/dmbao/DMBA_ENTITY>	OK			
anatomical entity	<http://purl.obolibrary.org/obo/UBERON_0001062>	HBA entity	<https://purl.brain-bican.org/ontology/hbao/HBA_ENTITY>	OK			
anatomical entity	<http://purl.obolibrary.org/obo/UBERON_0001062>	MBA entity	<https://purl.brain-bican.org/ontology/mbao/MBA_ENTITY>	OK			
anatomical entity	<http://purl.obolibrary.org/obo/UBERON_0001062>	PBA entity	<https://purl.brain-bican.org/ontology/pbao/PBA_ENTITY>	OK			
angular gyrus	<http://purl.obolibrary.org/obo/UBERON_0002686>	angular gyrus	<https://purl.brain-bican.org/ontology/dhbao/DHBA_12136>	OK			
angular gyrus	<http://purl.obolibrary.org/obo/UBERON_0002686>	angular gyrus	<https://purl.brain-bican.org/ontology/hbao/HBA_4111>	OK			
angular sulcus	<http://purl.obolibrary.org/obo/UBERON_0026725>	angular sulcus	<https://purl.brain-bican.org/ontology/hbao/HBA_9384>	OK			
ansa lenticularis	<http://purl.obolibrary.org/obo/UBERON_0009641>	ansa lenticularis	<https://purl.brain-bican.org/ontology/dhbao/DHBA_10571>	OK			
ansa lenticularis	<http://purl.obolibrary.org/obo/UBERON_0009641>	ansa lenticularis	<https://purl.brain-bican.org/ontology/hbao/HBA_9237>	OK			
ansa peduncularis	<http://purl.obolibrary.org/obo/UBERON_0034896>	ansa peduncularis	<https://purl.brain-bican.org/ontology/dhbao/DHBA_266441591>	OK			
ansa peduncularis	<http://purl.obolibrary.org/obo/UBERON_0034896>	ansa peduncularis	<https://purl.brain-bican.org/ontology/mbao/MBA_892>	OK			
ansiform lobule	<http://purl.obolibrary.org/obo/UBERON_0005348>	ansiform lobule	<https://purl.brain-bican.org/ontology/mbao/MBA_1017>	OK			
ansiform lobule crus I	<http://purl.obolibrary.org/obo/UBERON_0005976>	crus I	<https://purl.brain-bican.org/ontology/hbao/HBA_12938>	OK			
ansiform lobule crus I	<http://purl.obolibrary.org/obo/UBERON_0005976>	crus 1	<https://purl.brain-bican.org/ontology/mbao/MBA_1056>	OK			
ansiform lobule crus II	<http://purl.obolibrary.org/obo/UBERON_0005977>	crus II	<https://purl.brain-bican.org/ontology/hbao/HBA_12939>	OK			
ansiform lobule crus II	<http://purl.obolibrary.org/obo/UBERON_0005977>	crus 2	<https://purl.brain-bican.org/ontology/mbao/MBA_1064>	OK			
ansoparamedian fissure of cerebellum	<http://purl.obolibrary.org/obo/UBERON_0014468>	ansoparamedian fissure	<https://purl.brain-bican.org/ontology/dhbao/DHBA_266441733>	OK			
ansoparamedian fissure of cerebellum	<http://purl.obolibrary.org/obo/UBERON_0014468>	ansoparamedian fissure	<https://purl.brain-bican.org/ontology/hbao/HBA_9413>	OK			
ansoparamedian fissure of cerebellum	<http://purl.obolibrary.org/obo/UBERON_0014468>	ansoparamedian fissure	<https://purl.brain-bican.org/ontology/mbao/MBA_43>	OK			
anterior amygdaloid area	<http://purl.obolibrary.org/obo/UBERON_0002890>	anterior amygdaloid area	<https://purl.brain-bican.org/ontology/dhbao/DHBA_10362>	OK			
anterior amygdaloid area	<http://purl.obolibrary.org/obo/UBERON_0002890>	basolateral amygdaloid nucleus, anterior part	https://purl.brain-bican.org/ontology/dmbao/DMBA_15994	Verify	basal amygdaloid nucleus (http://purl.obolibrary.org/obo/UBERON_0002887)		Fixed
anterior amygdaloid area	<http://purl.obolibrary.org/obo/UBERON_0002890>	anterior amygdaloid area	<https://purl.brain-bican.org/ontology/hbao/HBA_265504476>	OK			
anterior amygdaloid area	<http://purl.obolibrary.org/obo/UBERON_0002890>	anterior amygdalar area	<https://purl.brain-bican.org/ontology/mbao/MBA_23>	OK			
anterior amygdaloid area	<http://purl.obolibrary.org/obo/UBERON_0002890>	anterior amygdaloid area	<https://purl.brain-bican.org/ontology/pbao/PBA_10103>	OK			
anterior column of fornix	<http://purl.obolibrary.org/obo/UBERON_0002940>	anterior column of the fornix, left	<https://purl.brain-bican.org/ontology/hbao/HBA_9251>	OK			
anterior commissure	<http://purl.obolibrary.org/obo/UBERON_0000935>	anterior commissure	<https://purl.brain-bican.org/ontology/dhbao/DHBA_10559>	OK			
anterior commissure	<http://purl.obolibrary.org/obo/UBERON_0000935>	anterior commissure	<https://purl.brain-bican.org/ontology/dmbao/DMBA_17751>	OK			
anterior commissure	<http://purl.obolibrary.org/obo/UBERON_0000935>	anterior commissure	<https://purl.brain-bican.org/ontology/hbao/HBA_9221>	OK			
anterior commissure anterior part	<http://purl.obolibrary.org/obo/UBERON_0003039>	anterior commissure, olfactory limb	<https://purl.brain-bican.org/ontology/mbao/MBA_900>	OK			
anterior corona radiata	<http://purl.obolibrary.org/obo/UBERON_0022425>	anterior portion of corona radiata	<https://purl.brain-bican.org/ontology/dhbao/DHBA_15541>	OK			
anterior cortical amygdaloid nucleus	<http://purl.obolibrary.org/obo/UBERON_0034991>	anterior cortical amygdaloid area	<https://purl.brain-bican.org/ontology/dmbao/DMBA_16000>	OK			
anterior division of bed nuclei of stria terminalis	<http://purl.obolibrary.org/obo/UBERON_0011173>	bed nuclei of the stria terminalis, anterior division	<https://purl.brain-bican.org/ontology/mbao/MBA_359>	OK			
anterior horn of lateral ventricle	<http://purl.obolibrary.org/obo/UBERON_0002651>	anterior horn of lateral ventricle	<https://purl.brain-bican.org/ontology/dhbao/DHBA_10597>	OK			
anterior hypothalamic commissure	<http://purl.obolibrary.org/obo/UBERON_0002694>	anterior hypothalamic area, left, central part	<https://purl.brain-bican.org/ontology/hbao/HBA_4600>	Verify	anterior hypothalamic region (http://purl.obolibrary.org/obo/UBERON_0002550)		
anterior hypothalamic region	<http://purl.obolibrary.org/obo/UBERON_0002550>	anterior hypothalamic area	<https://purl.brain-bican.org/ontology/dhbao/DHBA_266441551>	OK			
anterior hypothalamic region	<http://purl.obolibrary.org/obo/UBERON_0002550>	anterior hypothalamic area	<https://purl.brain-bican.org/ontology/hbao/HBA_12902>	OK			
anterior hypothalamic region	<http://purl.obolibrary.org/obo/UBERON_0002550>	anterior hypothalamic region	<https://purl.brain-bican.org/ontology/hbao/HBA_4570>	OK			
anterior limb of internal capsule	<http://purl.obolibrary.org/obo/UBERON_0014526>	anterior limb of internal capsule	<https://purl.brain-bican.org/ontology/dhbao/DHBA_10582>	OK			
anterior lobe of cerebellum	<http://purl.obolibrary.org/obo/UBERON_0002131>	anterior lobe	<https://purl.brain-bican.org/ontology/dhbao/DHBA_12838>	OK			
anterior median oculomotor nucleus	<http://purl.obolibrary.org/obo/UBERON_0002701>	anterior median oculomotor nucleus	<https://purl.brain-bican.org/ontology/dhbao/DHBA_12199>	OK			
anterior median oculomotor nucleus	<http://purl.obolibrary.org/obo/UBERON_0002701>	anterior median oculomotor nucleus, left	<https://purl.brain-bican.org/ontology/hbao/HBA_9032>	OK			
anterior nuclear group	<http://purl.obolibrary.org/obo/UBERON_0002788>	anterior nuclear complex of thalamus	<https://purl.brain-bican.org/ontology/dhbao/DHBA_10392>	OK			
anterior nuclear group	<http://purl.obolibrary.org/obo/UBERON_0002788>	anterior group of the dorsal thalamus	<https://purl.brain-bican.org/ontology/mbao/MBA_239>	OK			
anterior nucleus of hypothalamus	<http://purl.obolibrary.org/obo/UBERON_0002634>	anterior hypothalamic nucleus	<https://purl.brain-bican.org/ontology/dhbao/DHBA_10475>	OK			
anterior nucleus of hypothalamus	<http://purl.obolibrary.org/obo/UBERON_0002634>	anterior hypothalamic nucleus	<https://purl.brain-bican.org/ontology/dmbao/DMBA_15662>	OK			
anterior nucleus of hypothalamus	<http://purl.obolibrary.org/obo/UBERON_0002634>	anterior hypothalamic nucleus	<https://purl.brain-bican.org/ontology/hbao/HBA_12903>	OK			
anterior nucleus of hypothalamus	<http://purl.obolibrary.org/obo/UBERON_0002634>	anterior hypothalamic nucleus	<https://purl.brain-bican.org/ontology/mbao/MBA_88>	OK			
anterior nucleus of hypothalamus anterior part	<http://purl.obolibrary.org/obo/UBERON_0014589>	anterior hypothalamic nucleus, anterior part	<https://purl.brain-bican.org/ontology/mbao/MBA_700>	OK			
